site_name,Zm,g1,Albedo,Elev,MAP,MAT,Source,Dataset,N_gN_100gleaf,AGB_t_DM_ha,Ref,lat,long,LC,Koppen,hc,LAImax,DATA_START,DATA_END,hc_RS,Elev_srtm3,Elev_gtopo30,theta_fc,theta_paw,theta_r,theta_s
MN-Nkh,,,,1531.0,,,JapanFlux2024,,,,,47.693592,107.489342,GRA,Bsk,,,,,0.1470784612487373,1532.0,1526,0.30971,0.17758,0.12598,0.47655
JP-Hc3,,,,0.0,,,JapanFlux2024,,,,,34.539672,133.911731,CRO,Cfa,,,,,3.611961188752315,1.0,74,0.34646,0.19207,0.14806,0.46021
RU-Ege,,,,203.0,,,JapanFlux2024,,,,,60.015516,133.824012,DNF,Dfd,,,,,9.468582106984352,,228,0.51114,0.2949,0.1958,0.6428
JP-KaL,,,,0.0,,,JapanFlux2024,,,,,36.037778,140.404167,WAT,Cfa,,,,,1.5335908771639877,0.0,1,-3.4e+38,-3.4e+38,-3.4e+38,-3.4e+38
JP-Nkm,,,,2641.0,,,JapanFlux2024,,,,,35.808064,137.833883,ENF,Dfb,,,,,8.72055654552236,2636.0,2500,0.3004,0.18942,0.10551,0.46959
ID-PaD,,,,26.0,,,JapanFlux2024,,,,,-2.346071,114.036408,EBF,Am,,,,,5.9821825708005,27.0,52,0.52716,0.26449,0.22929,0.68183
ID-Pag,,,,22.0,,,JapanFlux2024,,,,,-2.323917,113.904392,EBF,Am,,,,,6.09447108277307,22.0,69,0.58075,0.26532,0.2661,0.73238
JP-SMF,,,,212.0,,,JapanFlux2024,,,,,35.261528,137.07875,MF,Cfa,,,,,5.990976894591357,203.0,181,0.31649,0.18159,0.12889,0.46169
RU-SkP,,,,217.0,,,JapanFlux2024,,,,,62.25471,129.618543,DNF,Dfd,,,,,5.374970596537444,,216,0.50138,0.30507,0.17623,0.64212
RU-Sk2,,,,216.0,,,JapanFlux2024,,,,,62.241291,129.651336,ENF,Dfd,,,,,4.847590467784641,,197,0.49729,0.3028,0.17565,0.63564
JP-Hc1,,,,0.0,,,JapanFlux2024,,,,,34.537892,133.926797,CRO,Cfa,,,,,3.441924825321997,0.0,61,0.34702,0.19854,0.14205,0.47103
JP-KaP,,,,3.0,,,JapanFlux2024,,,,,36.08,140.24,CRO,Cfa,,,,,1.9423400543046216,1.0,2,0.34465,0.1917,0.14591,0.4818
JP-Km1,,,,4.0,,,JapanFlux2024,,,,,43.107511,144.330906,WET,Dfb,,,,,5.317939279007939,3.0,18,0.3578,0.22589,0.1239,0.52408
JP-Nsb,,,,24.0,,,JapanFlux2024,,,,,36.024303,140.114975,CRO,Cfa,,,,,1.747781439507423,25.0,20,0.29835,0.17308,0.11981,0.44697
CN-In1,,,,356.0,,,JapanFlux2024,,,,,42.929708,120.70735,BSV,Bsk,,,,,0.1316851712019091,356.0,347,0.2273,0.127818,0.095132,0.38052
CN-In2,,,,355.0,,,JapanFlux2024,,,,,42.933964,120.710964,GRA,Bsk,,,,,0.122442321137264,356.0,348,0.23408,0.1294,0.10024,0.38705
CN-In3,,,,354.0,,,JapanFlux2024,,,,,42.925572,120.699039,CRO,Bsk,,,,,0.1392664690197833,356.0,351,0.21684,0.121001,0.091642,0.37378
CN-In4,,,,354.0,,,JapanFlux2024,,,,,42.944133,120.726622,CRO,Bsk,,,,,0.0990922139169012,354.0,345,0.23262,0.12851,0.09971,0.38653
CN-In5,,,,355.0,,,JapanFlux2024,,,,,42.934158,120.709078,GRA,Bsk,,,,,0.122596041800673,357.0,348,0.23408,0.1294,0.10024,0.38705
CN-In6,,,,355.0,,,JapanFlux2024,,,,,42.934014,120.711547,GRA,Bsk,,,,,0.1220787695175949,356.0,348,0.23408,0.1294,0.10024,0.38705
CN-In7,,,,355.0,,,JapanFlux2024,,,,,42.933919,120.709606,GRA,Bsk,,,,,0.1229700755103943,358.0,348,0.23408,0.1294,0.10024,0.38705
CN-In8,,,,355.0,,,JapanFlux2024,,,,,42.933967,120.710531,GRA,Bsk,,,,,0.1226169722846302,356.0,348,0.23408,0.1294,0.10024,0.38705
JP-Hc2,,,,1.0,,,JapanFlux2024,,,,,34.537518,133.927545,CRO,Cfa,,,,,3.440143957570401,-1.0,61,0.34702,0.19854,0.14205,0.47103
JP-Ako,,,,10.0,,,JapanFlux2024,,,,,34.735192,134.374798,EBF,Cfa,,,,,3.274469045594364,8.0,-9999,0.31082,0.1831,0.12234,0.44271
JP-Fhk,,,,1105.0,,,JapanFlux2024,,,,,35.443556,138.764693,DNF,Cfa,,,,,7.640538318223927,1100.0,1084,0.34972,0.22087,0.12244,0.49293
JP-Fmt,,,,168.0,,,JapanFlux2024,,,,,35.638745,139.379748,MF,Cfa,,,,,1.8013558547802704,166.0,140,0.31718,0.17743,0.13353,0.46501
MN-Kbu,,,,1235.0,,,JapanFlux2024,,,,,47.213972,108.737333,GRA,Bsk,,,,,0.0,1247.0,1251,0.27907,0.13937,0.13417,0.41342
JP-Khw,,,,196.0,,,JapanFlux2024,,,,,33.13658,130.70834,ENF,Cfa,,,,,6.829070799773233,198.0,199,0.33008,0.19739,0.12659,0.47222
CN-Lsh,,,,340.0,,,JapanFlux2024,,,,,45.279839,127.578206,DNF,Cfc,,,,,9.64530492666887,392.0,352,0.37022,0.23552,0.12783,0.50634
JP-Mse,,,,11.0,,,JapanFlux2024,,,,,36.05393,140.02693,CRO,Cfa,,,,,1.4162088479491095,13.0,20,0.32176,0.18021,0.13547,0.45522
JP-Nuf,,,,66.0,,,JapanFlux2024,,,,,35.152417,136.971889,DBF,Cfa,,,,,1.317850428243158,63.0,42,0.31543,0.17538,0.13412,0.44846
JP-Shn,,,,775.0,,,JapanFlux2024,,,,,35.865755,137.932563,MF,Dfa,,,,,6.508344721911624,792.0,772,0.33274,0.19453,0.13216,0.46469
JP-Spp,,,,173.0,,,JapanFlux2024,,,,,42.986843,141.385331,DBF,Dfb,,,,,6.808535608502076,182.0,185,0.36103,0.23271,0.121,0.51592
MN-Skt,,,,1630.0,,,JapanFlux2024,,,,,48.351861,108.654333,DNF,Dwc,,,,,1.628513954392549,1614.0,1598,0.35355,0.21558,0.1305,0.50934
JP-Tdf,,,,89.0,,,JapanFlux2024,,,,,35.035889,137.185778,DBF,Cfa,,,,,4.389664731419009,104.0,27,0.30886,0.17168,0.1313,0.44972
